text,textPreprocess
"Ohh oh (Jeje)
Nana na nah","Ohh oh (Jeje)
Nana na nah"
"Uoh oh
Hi Music Hi Flow","Uoh oh
Hi Music Hi Flow"
"Ozuna
Llegó el fin de semana y ya quiere salir","Ozuna
Llegó el fin de semana y ya quiere salir"
"En la monotonía no quiere seguir
Señorita con delicadeza","En la monotonía no quiere seguir
Señorita con delicadeza"
"Me pone loco, de la cabeza
Me dice que quiere seguir","Me pone loco, de la cabeza
Me dice que quiere seguir"
"Baila conmigo mujer
Que la noche solamente comienza","Baila conmigo mujer
Que la noche solamente comienza"
"En tu mirada puedo ver lo que piensas,
Una belleza ma'","En tu mirada puedo ver lo que piensas,
Una belleza ma'"
"Baila conmigo mujer
Que la noche solamente comienza","Baila conmigo mujer
Que la noche solamente comienza"
"En tu mirada puedo ver lo que piensa
Bailando, una belleza","En tu mirada puedo ver lo que piensa
Bailando, una belleza"
"Síguelo bailando, que la música no pare,
eh eh eh","Síguelo bailando, que la música no pare,
eh eh eh"
"Cómo a mí me gusta que la noche no se acabe,
eh eh eh","Cómo a mí me gusta que la noche no se acabe,
eh eh eh"
"Síguelo bailando, que la música no pare,
eh eh eh","Síguelo bailando, que la música no pare,
eh eh eh"
"Cómo a ti te gusta que la noche no se acabe,
eh eh eh (Ozuna)","Cómo a ti te gusta que la noche no se acabe,
eh eh eh (Ozuna)"
"Ay mami sacude ta' por encima
Bailando me aceleras, la adrenalina","Ay mami sacude ta' por encima
Bailando me aceleras, la adrenalina"
"Una maquina de baile, siempre domina
No paramos, disfrutemos pegadito en una esquina","Una maquina de baile, siempre domina
No paramos, disfrutemos pegadito en una esquina"
"Que tú tenga tu aceite
Yo tengo el mío, hay un lío","Que tú tenga tu aceite
Yo tengo el mío, hay un lío"
"Que la música tiene poderío
Esto se baila en Brasil, Venezuela, y los","Que la música tiene poderío
Esto se baila en Brasil, Venezuela, y los"
"judío
Argentina, y en Colombia, P.R. Caserío y","judío
Argentina, y en Colombia, P.R. Caserío y"
"por lo mío y
Síguelo bailando, que la música no pare,","por lo mío y
Síguelo bailando, que la música no pare,"
"eh eh eh
Cómo a mí me gusta que la noche no se acabe,","eh eh eh
Cómo a mí me gusta que la noche no se acabe,"
"eh eh eh
Síguelo bailando, que la música no pare","eh eh eh
Síguelo bailando, que la música no pare"
"Cómo a ti te gusta que la noche no se acabe,
eh eh eh","Cómo a ti te gusta que la noche no se acabe,
eh eh eh"
"Baila conmigo mujer
Que la noche solamente comienza","Baila conmigo mujer
Que la noche solamente comienza"
"En tu mirada puedo ver lo que piensas
Una belleza ma'","En tu mirada puedo ver lo que piensas
Una belleza ma'"
"Baila conmigo mujer
Que la noche solamente comienza","Baila conmigo mujer
Que la noche solamente comienza"
"En tu mirada puedo ver lo que piensa
Bailando, una belleza","En tu mirada puedo ver lo que piensa
Bailando, una belleza"
"Con este ritmo se descontrola
Se pone loquita y se me entrega to'a","Con este ritmo se descontrola
Se pone loquita y se me entrega to'a"
"Se pega de espalda y se acomoda sola
Pa' bailar no pone excusa no le importa la","Se pega de espalda y se acomoda sola
Pa' bailar no pone excusa no le importa la"
"hora, y a la moda
Cuando sale va retumbando","hora, y a la moda
Cuando sale va retumbando"
"Yo no sé qué tiene que se le quedan mirando
Anda quemando por el mundo viajando","Yo no sé qué tiene que se le quedan mirando
Anda quemando por el mundo viajando"
"No tiene problema si lo resuelve bailando
mami","No tiene problema si lo resuelve bailando
mami"
"Síguelo bailando, que la música no pare,
eh eh eh","Síguelo bailando, que la música no pare,
eh eh eh"
"Cómo a mí me gusta que la noche no se acabe,
eh eh eh","Cómo a mí me gusta que la noche no se acabe,
eh eh eh"
"Síguelo bailando, que la música no pare
Cómo a ti te gusta que la noche no se acabe,","Síguelo bailando, que la música no pare
Cómo a ti te gusta que la noche no se acabe,"
"eh eh eh
Llegó el fin de semana y ya quiere salir","eh eh eh
Llegó el fin de semana y ya quiere salir"
"En la monotonía no quiere seguir
Señorita con delicadeza","En la monotonía no quiere seguir
Señorita con delicadeza"
"Me pone loco de la cabeza
Me dice que quiere seguir","Me pone loco de la cabeza
Me dice que quiere seguir"
"Baila conmigo mujer
Que la noche solamente comienza","Baila conmigo mujer
Que la noche solamente comienza"
"En tu mirada puedo ver lo que piensas
Una belleza ma'","En tu mirada puedo ver lo que piensas
Una belleza ma'"
"Baila conmigo mujer
Que la noche solamente comienza","Baila conmigo mujer
Que la noche solamente comienza"
"En tu mirada puedo ver lo que piensas
Bailando, una belleza (Uoh oh, oh)","En tu mirada puedo ver lo que piensas
Bailando, una belleza (Uoh oh, oh)"
"Ozuna
El Negrito De Ojitos Claros","Ozuna
El Negrito De Ojitos Claros"
"Yai y Toly
Ya-ya-yai y Toly","Yai y Toly
Ya-ya-yai y Toly"
"Hi Music, Hi Flow
Hi Music, Hi Flow, oh ohh","Hi Music, Hi Flow
Hi Music, Hi Flow, oh ohh"
"Mami, mami
Ingeniero","Mami, mami
Ingeniero"
El Negrito De Ojitos Claros,El Negrito De Ojitos Claros
